#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
32 1.17475200000000e-09 4.02045859651062e-11 -2.76801386673875e-05 -1.60659737077506e-02 6.21566911106004e-32 -4.29417235015130e-26 6.92985671331686e-24 1.00032191846900e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
33 1.21146300000000e-09 4.27506162798974e-11 -2.94371728097955e-05 -1.57867891288115e-02 6.41547750889601e-32 -4.42836344434516e-26 6.92984826774593e-24 1.00032191846897e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
34 1.24817400000000e-09 4.53738226300114e-11 -3.12482687936642e-05 -1.55076048952922e-02 6.60064644601348e-32 -4.56255435792478e-26 6.92983956328634e-24 1.00032191846903e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
35 1.28488500000000e-09 4.80690518247956e-11 -3.31134265459428e-05 -1.52284210177103e-02 6.78493415961960e-32 -4.69674509908363e-26 6.92983059776577e-24 1.00032191846898e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
36 1.32159600000000e-09 5.08407470137754e-11 -3.50326460007554e-05 -1.49492375065830e-02 6.98437368339924e-32 -4.83093567811270e-26 6.92982137335236e-24 1.00032191846901e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
37 1.35830700000000e-09 5.36966735373744e-11 -3.70059270933507e-05 -1.46700543722533e-02 7.18015872449215e-32 -4.96512607201741e-26 6.92981189004674e-24 1.00032191846914e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
38 1.39501800000000e-09 5.66261214753039e-11 -3.90332697393082e-05 -1.43908716252383e-02 7.36123892224746e-32 -5.09931626519626e-26 6.92980214568488e-24 1.00032191846915e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
39 1.43172900000000e-09 5.96279523990394e-11 -4.11146738613152e-05 -1.41116892760553e-02 7.55131846377628e-32 -5.23350627514345e-26 6.92979214027044e-24 1.00032191846905e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
40 1.46844000000000e-09 6.27105559101839e-11 -4.32501393890469e-05 -1.38325073352212e-02 7.74862333840430e-32 -5.36769609510449e-26 6.92978187595998e-24 1.00032191846904e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
41 1.50515100000000e-09 6.58713641806060e-11 -4.54396662397557e-05 -1.35533258130795e-02 7.93445854702567e-32 -5.50188570238940e-26 6.92977135275425e-24 1.00032191846912e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
