#[0]step() [1]time(s) [2]x_mean(m) [3]y_mean(m) [4]z_mean(m) [5]px_mean(kg*m/s) [6]py_mean(kg*m/s) [7]pz_mean(kg*m/s) [8]gamma_mean() [9]x_rms(m) [10]y_rms(m) [11]z_rms(m) [12]px_rms(kg*m/s) [13]py_rms(kg*m/s) [14]pz_rms(kg*m/s) [15]gamma_rms() [16]emittance_x(m) [17]emittance_y(m) [18]emittance_z(m) [19]alpha_x() [20]alpha_y() [21]beta_x(m) [22]beta_y(m) [23]charge(C)
37 1.35830700000000e-09 6.11281310876789e-11 -2.49998837025928e-02 5.99513449887662e-03 8.19423771949634e-32 2.33943598501639e-28 -6.52322984295833e-27 1.00000000028565e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
38 1.39501800000000e-09 6.44749465617998e-11 -2.49998740182449e-02 5.99486806507574e-03 8.41516387529097e-32 2.46752021757536e-28 -6.69921899367950e-27 1.00000000030129e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
39 1.43172900000000e-09 6.79107870968068e-11 -2.49998638108462e-02 5.99459453937990e-03 8.63604664804110e-32 2.59901318443291e-28 -6.87518300260113e-27 1.00000000031735e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
40 1.46844000000000e-09 7.14356349761392e-11 -2.49998530666602e-02 5.99431392281562e-03 8.85688488078092e-32 2.73391439205631e-28 -7.05112120945288e-27 1.00000000033383e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
41 1.50515100000000e-09 7.50494720169209e-11 -2.49998417719528e-02 5.99402621643604e-03 9.07767741648826e-32 2.87222333412359e-28 -7.22703295406124e-27 1.00000000035072e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
42 1.54186200000000e-09 7.87522795700268e-11 -2.49998299129917e-02 5.99373142132089e-03 9.29842309820178e-32 3.01393949152558e-28 -7.40291757635199e-27 1.00000000036802e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
43 1.57857300000000e-09 8.25440385200650e-11 -2.49998174760468e-02 5.99342953857651e-03 9.51912076900922e-32 3.15906233236780e-28 -7.57877441635270e-27 1.00000000038575e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
44 1.61528400000000e-09 8.64247292854341e-11 -2.49998044473903e-02 5.99312056933582e-03 9.73976927216543e-32 3.30759131197246e-28 -7.75460281419518e-27 1.00000000040389e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
45 1.65199500000000e-09 9.03943318184009e-11 -2.49997908132965e-02 5.99280451475834e-03 9.96036745095140e-32 3.45952587288053e-28 -7.93040211011800e-27 1.00000000042244e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
46 1.68870600000000e-09 9.44528256050435e-11 -2.49997765600419e-02 5.99248137603018e-03 1.01809141491173e-31 3.61486544485383e-28 -8.10617164446890e-27 1.00000000044141e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 -nan -nan -nan -nan -1.60217663400000e-19
